Date,neerslag,verdamping,kwel,wegzijging,maalstaat,uitlaat,verhard,uitspoeling,intrek,afstroming,drain
1996-01-01,50.29,-20.116,25.56713426,-59.86798195,3000.0,-3192.0215523100014,-0.0,5225.148400000001,0.0,0.0,0
1996-01-02,0.0,-40.232,25.56713426,-59.86798195,3000.0,-4347.36931849086,-0.0,1421.9021661808601,0.0,0.0,0
1996-01-03,0.0,-60.34799999999999,25.56713426,-59.86798195,3000.0,-4221.929678148103,-0.0,1316.578525838103,0.0,0.0,0
1996-01-04,0.0,-40.232,25.56713426,-59.86798195,3000.0,-4149.684701732201,-0.0,1224.217549422201,0.0,0.0,0
1996-01-05,0.0,-80.464,25.56713426,-59.86798195,3000.0,-4021.779179852617,-0.0,1136.5440275426167,0.0,0.0,0
1996-01-06,955.51,-40.232,25.56713426,-59.86798195,3000.0,-4944.691898917825,-0.0,1063.7147466078245,0.0,0.0,0
1996-01-07,1156.67,-40.232,25.56713426,-59.86798195,3000.0,-5023.469865058209,-0.0,941.3327127482081,0.0,0.0,0
1996-01-08,100.58,-60.34799999999999,25.56713426,-59.86798195,3000.0,-3821.809491386616,-0.0,815.8783390766158,0.0,0.0,0
1996-01-09,301.73999999999995,-20.116,25.56713426,-59.86798195,3000.0,-4002.244381948204,-0.0,754.9212296382044,0.0,0.0,0
1996-01-10,452.61000000000007,-20.116,25.56713426,-59.86798195,3000.0,-4079.6572569823356,-0.0,681.4641046723351,0.0,0.0,0
1996-01-11,100.58,-40.232,25.56713426,-59.86798195,3000.0,-3631.3734317711796,-0.0,605.3262794611796,0.0,0.0,0
1996-01-12,0.0,-80.464,25.56713426,-59.86798195,3000.0,-3440.795961994104,-0.0,555.5608096841042,0.0,0.0,0
1996-01-13,0.0,-80.464,25.56713426,-59.86798195,3000.0,-3407.1990570494418,-0.0,521.9639047394414,0.0,0.0,0
1996-01-14,0.0,-80.464,25.56713426,-59.86798195,3000.0,-3376.642282496856,-0.0,491.4071301868559,0.0,0.0,0
1996-01-15,0.0,-80.464,25.56713426,-59.86798195,3000.0,-3348.8280164991875,-0.0,463.5928641891878,0.0,0.0,0
1996-01-16,0.0,-80.464,25.56713426,-59.86798195,3000.0,-3323.488271578952,-0.0,438.2531192689521,0.0,0.0,0
1996-01-17,0.0,-40.232,25.56713426,-59.86798195,3000.0,-3340.6137337388527,-0.0,415.14658142885247,0.0,0.0,0
1996-01-18,0.0,-20.116,25.56713426,-59.86798195,3000.0,-3332.430653619113,-0.0,386.84750130911283,0.0,0.0,0
1996-01-19,0.0,-20.116,25.56713426,-59.86798195,3000.0,-3302.6563573689705,-0.0,357.07320505897025,0.0,0.0,0
1996-01-20,0.0,-20.116,25.56713426,-59.86798195,3000.0,-3274.9665840843127,-0.0,329.38343177431256,0.0,0.0,0
1996-01-21,0.0,-60.34799999999999,25.56713426,-59.86798195,3000.0,-3208.938739601782,-0.0,303.5875872917818,0.0,0.0,0
1996-01-22,0.0,-80.464,25.56713426,-59.86798195,3000.0,-3171.9573760116923,-0.0,286.72222370169214,0.0,0.0,0
1996-01-23,0.0,-60.34799999999999,25.56713426,-59.86798195,3000.0,-3180.3761035083326,-0.0,275.3306354107501,-0.30568421241723515,0.0,0
1996-01-24,0.0,-60.34799999999999,25.56713426,-59.86798195,3000.0,-3167.8949844255,-0.0,264.9951558685327,-2.451323753033063,0.0,0
1996-01-25,100.58,-80.464,25.56713426,-59.86798195,3000.0,-3236.860173706951,-0.0,255.620528295194,-4.5755068982427325,0.0,0
1996-01-26,150.86999999999998,-20.116,25.56713426,-59.86798195,3000.0,-3336.1217765115525,-0.0,246.60750341355276,-6.938879212000305,0.0,0
1996-01-27,0.0,-40.232,25.56713426,-59.86798195,3000.0,-3143.317529163132,-0.0,229.08222715575212,-11.231850302620305,0.0,0
1996-01-28,0.0,-100.58000000000001,25.56713426,-59.86798195,3000.0,-3071.1233222643605,-0.0,219.79326013669447,-13.7890901823341,0.0,0
1996-01-29,0.0,-100.58000000000001,25.56713426,-59.86798195,3000.0,-3069.3066004469956,-0.0,218.94561980024622,-14.75817166325076,0.0,0
1996-01-30,0.0,-100.58000000000001,25.56713426,-59.86798195,3000.0,-3067.7808246591744,-0.0,218.37923467853233,-15.71756232935825,0.0,0
1996-01-31,0.0,-120.69599999999998,25.56713426,-59.86798195,3000.0,-3046.3978426476533,-0.0,218.0620494264577,-16.66735908880467,0.0,0
1996-02-01,0.0,-281.7366946778711,25.56713426,-59.86798195,3000.0,-2887.4034525813813,-0.0,220.52779082990887,-17.086795880656624,0.0,0
1996-02-02,0.0,-93.91223155929039,25.56713426,-59.86798195,3000.0,-3077.3394611068466,-0.0,223.05457866072703,-17.502038304590055,0.0,0
1996-02-03,251.45000000000002,-93.91223155929039,25.56713426,-59.86798195,3000.0,-3318.6205083112463,-0.0,215.3801638648212,-19.996576304284158,0.0,0
1996-02-04,0.0,-234.780578898226,25.56713426,-59.86798195,3000.0,-2907.1092727695295,-0.0,200.6101007817366,-24.419401423981316,0.0,0
1996-02-05,0.0,-234.780578898226,25.56713426,-59.86798195,3000.0,-2907.503904654819,-0.0,201.86751103552652,-25.282179792481504,0.0,0
1996-02-06,0.0,-281.7366946778711,25.56713426,-59.86798195,3000.0,-2861.0180640067647,-0.0,203.19193675193216,-26.136330377296687,0.0,0
1996-02-07,0.0,-140.86834733893556,25.56713426,-59.86798195,3000.0,-3005.505046769733,-0.0,207.13531925493209,-26.46107745626372,0.0,0
1996-02-08,0.0,-140.86834733893556,25.56713426,-59.86798195,3000.0,-2999.7903193853253,-0.0,203.30467747870213,-28.34516306444108,0.0,0
1996-02-09,553.19,-140.86834733893556,25.56713426,-59.86798195,3000.0,-3547.601094926272,-0.0,199.79069777174396,-30.210407816536673,0.0,0
1996-02-10,905.2200000000001,-140.86834733893556,25.56713426,-59.86798195,3000.0,-3873.3905973192504,-0.0,179.6939039692973,-36.3541116211113,0.0,0
1996-02-11,2514.5,-93.91223155929039,25.56713426,-59.86798195,3000.0,-5490.5745967853045,-0.0,149.4585799222348,-45.17090388764019,0.0,0
1996-02-12,8499.009999999998,-93.91223155929039,25.56713426,-59.86798195,3000.0,-11372.242446766719,-0.0,68.36660424751518,-66.9210782315038,0.0,0
1996-02-13,150.86999999999998,-46.956115779645195,25.56713426,-59.86798195,3000.0,-2860.4236482946894,-0.0,44.85971460397601,-254.04910283964102,0.0,0
1996-02-14,0.0,-46.956115779645195,25.56713426,-59.86798195,3000.0,-2702.063533703119,-0.0,41.40268314357841,-258.08218597081463,0.0,0
1996-02-15,402.32,-187.82446311858078,25.56713426,-59.86798195,3000.0,-2959.3082979999635,-0.0,38.291354829220566,-259.17774602067647,0.0,0
1996-02-16,352.03,-187.82446311858078,25.56713426,-59.86798195,3000.0,-2904.357395067678,-0.0,38.577979346298505,-264.1252734700397,0.0,0
1996-02-17,5682.77,-375.64892623716156,25.56713426,-59.86798195,3000.0,-8043.598572589599,-0.0,38.835941411668664,-268.0575948949093,0.0,0
1996-02-18,3721.46,-281.7366946778711,25.56713426,-59.86798195,3000.0,-6079.4388362971,-0.0,43.18386727050179,-369.16748860553014,0.0,0
1996-02-19,2514.5,-187.82446311858078,25.56713426,-59.86798195,3000.0,-4903.235743605826,-0.0,45.03912054345162,-434.1780661290449,0.0,0
1996-02-20,100.58,-140.86834733893556,25.56713426,-59.86798195,3000.0,-2492.1254915828467,-0.0,44.65096848910645,-477.93628187732446,0.0,0
1996-02-21,0.0,-469.561157796452,25.56713426,-59.86798195,3000.0,-2063.221205685623,-0.0,43.2726916401958,-476.1894804681212,0.0,0
1996-02-22,50.29,-469.561157796452,25.56713426,-59.86798195,3000.0,-2132.1476184167145,-0.0,49.23482247617622,-463.51519857301,0.0,0
1996-02-23,0.0,-375.64892623716156,25.56713426,-59.86798195,3000.0,-2192.717576054547,-0.0,54.60074022855859,-451.9333902468499,0.0,0
1996-02-24,1257.25,-140.86834733893556,25.56713426,-59.86798195,3000.0,-3697.376039922816,-0.0,57.37218620570274,-442.07695125395145,0.0,0
1996-02-25,1760.15,-140.86834733893556,25.56713426,-59.86798195,3000.0,-4176.8020421552155,-0.0,54.72178758513246,-462.90055040098196,0.0,0
1996-02-26,0.0,-234.780578898226,25.56713426,-59.86798195,3000.0,-2290.0817811818515,-0.0,52.33642882661921,-493.17322105654216,0.0,0
1996-02-27,150.86999999999998,-375.64892623716156,25.56713426,-59.86798195,3000.0,-2306.400405261249,-0.0,52.247485943957294,-486.7673067555467,0.0,0
1996-02-28,100.58,-422.6050420168068,25.56713426,-59.86798195,3000.0,-2219.4686467951933,-0.0,55.25425734956156,-479.45972084756124,0.0,0
1996-02-29,100.58,-422.6050420168068,25.56713426,-59.86798195,3000.0,-2232.691562859143,-0.0,58.989291614605406,-469.9718390486556,0.0,0
1996-03-01,100.58,-254.95564005069707,25.56713426,-59.86798195,3000.0,-2413.0954986447086,-0.0,62.35082245314487,-460.5788360677391,0.0,0
1996-03-02,1257.25,-446.17237008871984,25.56713426,-59.86798195,3000.0,-3379.2903143124786,-0.0,60.23150020783038,-457.7179681166317,0.0,0
1996-03-03,0.0,-509.91128010139414,25.56713426,-59.86798195,3000.0,-2043.964209300618,-0.0,61.41093018704735,-473.2345930950354,0.0,0
1996-03-04,1257.25,-191.21673003802277,25.56713426,-59.86798195,3000.0,-3632.068637366665,-0.0,63.501357168342615,-463.16514207365503,0.0,0
1996-03-05,251.45000000000002,-191.21673003802277,25.56713426,-59.86798195,3000.0,-2602.3926044109967,-0.0,60.23804145150835,-483.7778593124885,0.0,0
1996-03-06,704.06,-318.69455006337137,25.56713426,-59.86798195,3000.0,-2923.4958251740527,-0.0,57.301057306357514,-484.86983437893355,0.0,0
1996-03-07,0.0,-254.95564005069707,25.56713426,-59.86798195,3000.0,-2275.39197939031,-0.0,56.71565157572175,-492.06718444471426,0.0,0
1996-03-08,0.0,-892.3447401774397,25.56713426,-59.86798195,3000.0,-1641.5542870408726,-0.0,55.159846418149584,-486.95997150983715,0.0,0
1996-03-09,0.0,-956.0836501901141,25.56713426,-59.86798195,3000.0,-1604.6371031919116,-0.0,64.04902177633463,-469.0274207043087,0.0,0
1996-03-10,0.0,-956.0836501901141,25.56713426,-59.86798195,3000.0,-1632.7071673117516,-0.0,73.07821959870115,-449.9865544068357,0.0,0
1996-03-11,0.0,-637.3891001267427,25.56713426,-59.86798195,3000.0,-1978.3784530497512,-0.0,81.20449763883104,-431.13609677233734,0.0,0
1996-03-12,0.0,-828.6058301647656,25.56713426,-59.86798195,3000.0,-1801.5544213059986,-0.0,83.37344787494794,-418.91234871418396,0.0,0
1996-03-13,0.0,-828.6058301647656,25.56713426,-59.86798195,3000.0,-1822.5577300960751,-0.0,88.41232308745313,-402.9479151366121,0.0,0
1996-03-14,0.0,-892.3447401774397,25.56713426,-59.86798195,3000.0,-1779.158597016452,-0.0,92.94731077870783,-387.14312589481597,0.0,0
1996-03-15,0.0,-956.0836501901141,25.56713426,-59.86798195,3000.0,-1737.4644982752857,-0.0,98.05773970083705,-370.20874354543776,0.0,0
1996-03-16,0.0,-382.43346007604555,25.56713426,-59.86798195,3000.0,-2334.795693945154,-0.0,103.68606573075334,-352.15606401955336,0.0,0
1996-03-17,0.0,-254.95564005069707,25.56713426,-59.86798195,3000.0,-2464.3619311280527,-0.0,99.49109915767801,-345.8726802889279,0.0,0
1996-03-18,0.0,-382.43346007604555,25.56713426,-59.86798195,3000.0,-2334.6960290802563,-0.0,93.65774924191021,-342.22741239560855,0.0,0
1996-03-19,0.0,-254.95564005069707,25.56713426,-59.86798195,3000.0,-2465.1658113957997,-0.0,90.46561431771919,-336.04331518122245,0.0,0
1996-03-20,0.0,-956.0836501901141,25.56713426,-59.86798195,3000.0,-1762.6539740668532,-0.0,85.53481288594728,-332.4963409389802,0.0,0
1996-03-21,854.93,-573.6501901140686,25.56713426,-59.86798195,3000.0,-3024.5736083541233,-0.0,92.41543159735254,-314.82078543916043,0.0,0
1996-03-22,50.29,-254.95564005069707,25.56713426,-59.86798195,3000.0,-2532.0026064525814,-0.0,92.43434843761729,-321.46525424433884,0.0,0
1996-03-23,50.29,-254.95564005069707,25.56713426,-59.86798195,3000.0,-2529.310394491693,-0.0,87.30667359385556,-319.02979136146547,0.0,0
1996-03-24,0.0,-382.43346007604555,25.56713426,-59.86798195,3000.0,-2349.338775361004,-0.0,82.69176623447,-316.6186831074208,0.0,0
1996-03-25,0.0,-1211.0392902408112,25.56713426,-59.86798195,3000.0,-1524.5654184942955,-0.0,80.59622961102299,-310.6906731859166,0.0,0
1996-03-26,0.0,-254.95564005069707,25.56713426,-59.86798195,3000.0,-2514.747368545596,-0.0,92.0864666499207,-288.0826103636274,0.0,0
1996-03-27,0.0,-1338.5171102661598,25.56713426,-59.86798195,3000.0,-1429.1603788592074,-0.0,86.99357998492863,-285.01524316956113,0.0,0
1996-03-28,1156.67,-764.8669201520911,25.56713426,-59.86798195,3000.0,-3197.315541496909,-0.0,99.90196198643578,-260.08865264743554,0.0,0
1996-03-29,201.16,-764.8669201520911,25.56713426,-59.86798195,3000.0,-2235.03937366517,-0.0,102.2590457877922,-269.2119042805312,0.0,0
