Parameter,Beschrijving,Datatype,Units
GAF,ID van de GAF,str,-
GAF_NAAM,Naam van de GAF,str,-
GAF_CODE,,str,-
EAG,ID van de EAG,str,-
EAG_NAAM,Naam van de EAG,str,-
TYPE_WBAL,Type landbakje,str,-
AREA,Oppervlak,float,m2
ORDER,Volgorde van oplossen van EAG,int,-
POMP_IN,Nummer van pompstation die water naar EAG voert,int,-
POMP_UIT,Nummer van pompstation die water uit EAG voert,int,-
,,,
,,,
Parameter,Opties,,
TYPE_WBAL,Verhard,,
TYPE_WBAL,Onverhard,,
TYPE_WBAL,Water,,
